created_time,message,likes,location
2024-12-06 17:38:32,科比从来都不会嘲笑菜鸡，但是他永远看不起懒狗。,76,IP属地：黑龙江
2024-12-06 13:40:16,领袖该做的事,256,IP属地：湖北
2024-12-06 19:54:36,詹姆斯：我们没能夺冠的原因是角色球员发挥的不好。,360,IP属地：江苏
2024-12-06 18:59:33,所以说科比不喜欢林书豪跟种族没有半毛钱关系没有，科比不讨厌菜的但绝对讨厌懒的。孙悦不比你林书豪菜多了，但人家踏实勤奋肯努力啊，他对篮球的态度科比都看在眼里的所以才会单独请他吃饭鼓励他。你林书豪呢？天天跟尼克杨那个吊儿郎当的摆子混一块玩，荒废你的时间浪费你的潜能，科比能对你有好脸色就见鬼了。连快乐兽那个犟种都感慨科比骂自己骂得有道理了，林书豪仍然觉得自己一点问题没有，自我感觉异常良好，就是科比把他当小孩子，不尊重他！,28,IP属地：湖南
2024-12-06 19:36:48,"科    比：你作为团队的一员，你做的一切对团队都是有价值的[委屈]
詹姆斯：你作为团队的一员，希望你快点被裁，给我儿子腾位置[生气]",25,IP属地：河北
2024-12-07 00:17:26,以前科比在的湖人让自己觉得自己是湖人球迷很骄傲，现在的湖人感觉就像小丑一样，不仅不能让对手畏惧，反而全是嘲讽的,11,IP属地：云南
2024-12-08 11:36:40,"那次科比在鸡毛秀做节目，当时鸡毛就问了一句你们队伍里有一个整天西装在替补席的那哥们是干嘛的？（说的就是当时的亚当莫里森）科比的回答基本上跟视频里说孙悦一致，每个队员在湖人队拿到冠军的时候都做出了自己的贡献，即便他们没有在季后赛里上场也是团队里不可或缺的一员。

这一点科比作为一名真正的领袖可以说做到了极致了。",17,IP属地：天津
2024-12-08 01:10:58,小朋友是真的多，看没看过球，林书豪哪国人你先搞清楚，另外科比对 姚，孙，易，都很正常。一个训练和尼克杨嘻嘻哈哈的，cba都混不下去的td狗，有什么资格说别人歧视他。,9,IP属地：福建
2024-12-06 18:15:41,不仅是大圣。大姚第一次全明星比赛是科比主动上前帮他按肩膀，加油打气,238,IP属地：安徽
2024-12-06 22:51:54,科比说过湖人就像一艘船，他是船长，这艘船即便沉了也会跟着沉下去，而不是换艘新船继续开，一只球队一个人生只有历经岁月有巅峰有低谷才会显得灿烂，而不是一直都是巅峰才能让人崇敬,114,IP属地：山东
2024-12-08 07:19:06,烂梗小鬼人家连球都没看过几场，刷烂梗就算了还扯以前的事以为自己在伸张正义呢，结果传到国外去人家老婆还挂出来点名骂，丢人显眼。,7,IP属地：广东
2024-12-06 12:29:54,真不愧是老大。,143,IP属地：北京
2024-12-06 20:17:10,"说科比种族歧视的，那完全是跟风。歧视是只喜欢自己种族，对其他种族天然无理由的排斥反感瞧不起。他歧视的是哪种人，是那种不够努力，耍大牌，没有敬业精神的人。霍华德也是黑人，他不照样看不惯，很多黑人和白人球员都被科比骂过。你见他在场上何时对姚明有过不敬和冲突吗，说过易建联怎么怎么样吗。他尊重强者和勤奋的人，和你的肤色无关。
   还有，别再动不动说什么别人歧视我们，在我心里，黑人白人根本没有资格来歧视我们，没听说弱者歧视强者的，他们无知，我从来不把他们的歧视当回事，就像一个丑八怪不喜欢你说你丑，你根本不会觉得是因为自己不够好看，是因为他无知。
反而，我们天天委屈的讲他们怎么怎么歧视我们，我们当真了，当回事了，这不恰恰说明了他们的认知是正确的吗。",21,IP属地：福建
2024-12-06 20:37:39,佩服，科比的确不是一般人,45,IP属地：四川
2024-12-06 22:52:46,@比不中说篮球 @科晓渔 科比这个思维太牛逼了,53,IP属地：海南
2024-12-06 17:32:02,林书豪至今也感谢科比怀念科比，只是当时确实存在篮球理念的分歧，霸凌是夸大其词的，拿林来黑科的多少沾点,26,IP属地：安徽
2024-12-06 20:26:18,"赢球me
输球we",32,IP属地：广东
2024-12-06 19:17:53,林书豪自己说过的，最被看不起的时候是在勇士的时候，他们会惊讶黄种人做出来的一些动作,34,IP属地：四川
2024-12-08 00:28:48,林书豪那事没那么复杂，就是科比那时候输急眼了心态炸了，于是有点把气撒在队友身上。而林恰好又是个受过良好教育，相对敏感的亚裔，不能接受这一点。客观来说科比这事确实干得不地道，但扯到什么歧视亚裔上，就是纯属恶意抹黑了。要知道科比的偶像之一是李小龙，而且是那种在公开演讲，书里都特地强调过的偶像。,22,IP属地：广东
2024-12-06 12:35:04,这点确实牛逼,80,IP属地：广西
2024-12-06 17:38:32,科比从来都不会嘲笑菜鸡，但是他永远看不起懒狗。,76,IP属地：黑龙江
2024-12-06 13:40:16,领袖该做的事,256,IP属地：湖北
2024-12-06 19:54:36,詹姆斯：我们没能夺冠的原因是角色球员发挥的不好。,360,IP属地：江苏
2024-12-06 18:59:33,所以说科比不喜欢林书豪跟种族没有半毛钱关系没有，科比不讨厌菜的但绝对讨厌懒的。孙悦不比你林书豪菜多了，但人家踏实勤奋肯努力啊，他对篮球的态度科比都看在眼里的所以才会单独请他吃饭鼓励他。你林书豪呢？天天跟尼克杨那个吊儿郎当的摆子混一块玩，荒废你的时间浪费你的潜能，科比能对你有好脸色就见鬼了。连快乐兽那个犟种都感慨科比骂自己骂得有道理了，林书豪仍然觉得自己一点问题没有，自我感觉异常良好，就是科比把他当小孩子，不尊重他！,28,IP属地：湖南
2024-12-06 19:36:48,"科    比：你作为团队的一员，你做的一切对团队都是有价值的[委屈]
詹姆斯：你作为团队的一员，希望你快点被裁，给我儿子腾位置[生气]",25,IP属地：河北
2024-12-07 00:17:26,以前科比在的湖人让自己觉得自己是湖人球迷很骄傲，现在的湖人感觉就像小丑一样，不仅不能让对手畏惧，反而全是嘲讽的,11,IP属地：云南
2024-12-08 11:36:40,"那次科比在鸡毛秀做节目，当时鸡毛就问了一句你们队伍里有一个整天西装在替补席的那哥们是干嘛的？（说的就是当时的亚当莫里森）科比的回答基本上跟视频里说孙悦一致，每个队员在湖人队拿到冠军的时候都做出了自己的贡献，即便他们没有在季后赛里上场也是团队里不可或缺的一员。

这一点科比作为一名真正的领袖可以说做到了极致了。",17,IP属地：天津
