created_time,message,likes,location
2024-02-06 12:12:23,抖音上确实是比电视剧好看多了,327,IP属地：海南
2024-02-08 15:47:20,当网红肯定是好看的，当明星没点本事在身上，普就是普。杨紫也被说，但肯定绝大多数人因为她的演技而忽视，况且最近她状态还算好,148,IP属地：贵州
2024-02-03 16:15:43,蛮可爱的啊麻烦让我普成这样好吗,85,IP属地：内蒙古
2024-02-15 21:42:50,她都演戏了就要尊重大家的眼睛和审美啊，她又不在抖音拍戏[喜极而泣][喜极而泣],81,IP属地：贵州
2024-01-27 20:14:40,好做作的张大大,67,IP属地：山西
2024-02-06 13:39:05,up好棒，终于有人在b站夸露思了[喜欢][喜欢][喜欢],63,IP属地：福建
2024-02-09 21:50:13,生活抖音里面拍的，我看见她笑，她虽然加了美颜，我看见她笑，觉得这个充满生命力，生活好像过的很有趣，我很向往。那种自由自在，没有烦恼，过得舒适，生命力顽强，生活很有趣，也很有意思。我觉得大明星也不一定那种高冷疏远的，像那种可以感染别人，如果我遇到了什么糟心事，我看见他那种没心没肺的笑，很纯真，就觉得生活其实还算是美好的。,62,IP属地：浙江
2024-02-06 18:26:54,麻辣隔壁姐要是在电视剧里也长这样就好了呢[doge],61,IP属地：四川
2024-02-05 12:08:10,感觉她属于氛围感美女，在dy等视频平台上感觉很好看，很灵，但是在电视屏幕上就没那么好看了，没有那些大美女能抗住大镜头,49,IP属地：山西
2024-02-13 13:24:29,网感十足,32,IP属地：河南
2024-02-13 12:50:22,博主安心安利没事，在b站安利就会这样子的，谢谢博主安利[给心心],30,IP属地：广东
2024-02-02 13:28:16,你喜欢就好，吃点好的吧，真是饿了,30,IP属地：广东
2024-02-04 10:53:45,赵露思好好看[星星眼],27,IP属地：重庆
2024-02-13 19:54:19,真是饿了,22,IP属地：福建
2024-02-09 12:44:06,她有一种身体很好气血很足的元气感,22,IP属地：四川
2024-02-07 22:15:29,电视上看还是肉肉的脸[doge],21,IP属地：山东
2024-02-18 20:01:20,为什么要有普这个词？美本来就多样的，娱乐圈多一点各种不同样式的美女不好吗？干嘛要一样，每个人审美又不一样,16,IP属地：广东
2024-02-05 20:47:05,普通人里算美女，明星里算普通,15,IP属地：福建
2024-02-11 22:28:10,很吃露思的颜，早期因为搞笑粉的，后面就是忠于女鹅的颜值啦哈哈哈，侧脸尊嘟戳中心巴，看她笑起来真的能量满满～,8,IP属地：江苏
2024-02-06 13:37:56,真的在她身上看到了热爱生活的气息啊[喜欢],8,IP属地：福建
2024-02-06 12:12:23,抖音上确实是比电视剧好看多了,327,IP属地：海南
2024-02-08 15:47:20,当网红肯定是好看的，当明星没点本事在身上，普就是普。杨紫也被说，但肯定绝大多数人因为她的演技而忽视，况且最近她状态还算好,148,IP属地：贵州
2024-02-03 16:15:43,蛮可爱的啊麻烦让我普成这样好吗,85,IP属地：内蒙古
2024-02-15 21:42:50,她都演戏了就要尊重大家的眼睛和审美啊，她又不在抖音拍戏[喜极而泣][喜极而泣],81,IP属地：贵州
2024-01-27 20:14:40,好做作的张大大,67,IP属地：山西
2024-02-06 13:39:05,up好棒，终于有人在b站夸露思了[喜欢][喜欢][喜欢],63,IP属地：福建
2024-02-09 21:50:13,生活抖音里面拍的，我看见她笑，她虽然加了美颜，我看见她笑，觉得这个充满生命力，生活好像过的很有趣，我很向往。那种自由自在，没有烦恼，过得舒适，生命力顽强，生活很有趣，也很有意思。我觉得大明星也不一定那种高冷疏远的，像那种可以感染别人，如果我遇到了什么糟心事，我看见他那种没心没肺的笑，很纯真，就觉得生活其实还算是美好的。,62,IP属地：浙江
2024-02-06 18:26:54,麻辣隔壁姐要是在电视剧里也长这样就好了呢[doge],61,IP属地：四川
2024-02-05 12:08:10,感觉她属于氛围感美女，在dy等视频平台上感觉很好看，很灵，但是在电视屏幕上就没那么好看了，没有那些大美女能抗住大镜头,49,IP属地：山西
2024-02-13 13:24:29,网感十足,32,IP属地：河南
2024-02-13 12:50:22,博主安心安利没事，在b站安利就会这样子的，谢谢博主安利[给心心],30,IP属地：广东
2024-02-02 13:28:16,你喜欢就好，吃点好的吧，真是饿了,30,IP属地：广东
2024-02-04 10:53:45,赵露思好好看[星星眼],27,IP属地：重庆
2024-02-13 19:54:19,真是饿了,22,IP属地：福建
2024-02-09 12:44:06,她有一种身体很好气血很足的元气感,22,IP属地：四川
2024-02-07 22:15:29,电视上看还是肉肉的脸[doge],21,IP属地：山东
2024-02-18 20:01:20,为什么要有普这个词？美本来就多样的，娱乐圈多一点各种不同样式的美女不好吗？干嘛要一样，每个人审美又不一样,16,IP属地：广东
2024-02-05 20:47:05,普通人里算美女，明星里算普通,15,IP属地：福建
2024-02-11 22:28:10,很吃露思的颜，早期因为搞笑粉的，后面就是忠于女鹅的颜值啦哈哈哈，侧脸尊嘟戳中心巴，看她笑起来真的能量满满～,8,IP属地：江苏
2024-02-06 13:37:56,真的在她身上看到了热爱生活的气息啊[喜欢],8,IP属地：福建
